Vertex 20 -20
-28.9509 -124.732 -21.2279 -138.122
-2.92175 -5.35399 -2.49724 -9.60512
-2.49724 -9.60512 -2.58391 -15.9583
-2.58391 -15.9583 -3.42124 -24.0491
-3.42124 -24.0491 -4.9497 -35.0083
-4.9497 -35.0083 -7.13911 -49.4094
-7.13911 -49.4094 -9.97576 -67.5131
-9.97576 -67.5131 -13.4534 -89.4381
-13.4534 -89.4381 -17.569 -115.241
-17.569 -115.241 -21.2279 -138.122
-457.928 511.37 -437.405 488.022
-437.405 488.022 -391.188 435.441
-391.188 435.441 -347.611 385.864
-347.611 385.864 -306.674 339.29
-306.674 339.29 -268.376 295.72
-268.376 295.72 -232.717 255.152
-232.717 255.152 -199.698 217.586
-199.698 217.586 -169.316 183.023
-169.316 183.023 -141.57 151.459
-141.57 151.459 -116.46 122.894
-116.46 122.894 -93.982 97.3255
-93.982 97.3255 -74.1316 74.7478
-74.1316 74.7478 -56.9005 55.1531
-56.9005 55.1531 -42.2734 38.526
-42.2734 38.526 -30.2193 24.8355
-30.2193 24.8355 -20.6707 14.0141
-20.6707 14.0141 -13.4697 5.90409
-13.4697 5.90409 -8.2369 0.125826
-8.2369 0.125826 -4.14645 -4.14645
-4.14645 -4.14645 -8.2369 0.125826
-8.2369 0.125826 -4.14645 -4.14645
-4.14645 -4.14645 -2.92175 -5.35399
-457.928 511.37 nan nan
-457.928 511.37 -468.566 521.664
-468.566 521.664 -521.944 573.31
-521.944 573.31 -578.177 627.705
-578.177 627.705 -637.268 684.856
-637.268 684.856 -699.221 744.765
-699.221 744.765 -764.037 807.437
-764.037 807.437 -831.719 872.873
-831.719 872.873 -902.268 941.076
-902.268 941.076 -975.685 1012.05
-975.685 1012.05 -1051.97 1085.79
-1051.97 1085.79 -1131.13 1162.3
-1131.13 1162.3 -1213.16 1241.59
-1213.16 1241.59 -1298.06 1323.65
-1298.06 1323.65 -1385.83 1408.48
-1385.83 1408.48 -1476.47 1496.09
-1476.47 1496.09 -1569.99 1586.47
-1569.99 1586.47 -1666.39 1679.63
-1666.39 1679.63 -1765.65 1775.56
-1765.65 1775.56 -1867.79 1874.27
-1867.79 1874.27 -1972.81 1975.76
-1972.81 1975.76 -1997.89 2000
Vertex 95 67
2000 740.929 1946.93 696.702
1946.93 696.702 1865.96 629.219
1865.96 629.219 1787.62 563.922
1787.62 563.922 1711.88 500.778
1711.88 500.778 1638.69 439.748
1638.69 439.748 1568 380.793
1568 380.793 1499.76 323.865
1499.76 323.865 1433.92 268.916
1433.92 268.916 1370.39 215.891
1370.39 215.891 1309.13 164.731
1309.13 164.731 1250.04 115.372
1250.04 115.372 1193.06 67.7434
1193.06 67.7434 1138.08 21.7688
1138.08 21.7688 1085.01 -22.6338
1085.01 -22.6338 1033.74 -65.5531
1033.74 -65.5531 984.175 -107.084
984.175 -107.084 936.18 -147.329
936.18 -147.329 889.632 -186.396
889.632 -186.396 844.395 -224.399
844.395 -224.399 800.326 -261.46
800.326 -261.46 757.277 -297.706
757.277 -297.706 715.091 -333.267
715.091 -333.267 673.608 -368.281
673.608 -368.281 632.663 -402.888
632.663 -402.888 592.085 -437.232
592.085 -437.232 551.704 -471.457
551.704 -471.457 592.085 -437.232
592.085 -437.232 551.704 -471.457
551.704 -471.457 511.348 -505.711
511.348 -505.711 470.842 -540.139
470.842 -540.139 459.905 -549.445
-457.928 511.37 nan nan
-457.928 511.37 -468.566 521.664
-468.566 521.664 -521.944 573.31
-521.944 573.31 -578.177 627.705
-578.177 627.705 -637.268 684.856
-637.268 684.856 -699.221 744.765
-699.221 744.765 -764.037 807.437
-764.037 807.437 -831.719 872.873
-831.719 872.873 -902.268 941.076
-902.268 941.076 -975.685 1012.05
-975.685 1012.05 -1051.97 1085.79
-1051.97 1085.79 -1131.13 1162.3
-1131.13 1162.3 -1213.16 1241.59
-1213.16 1241.59 -1298.06 1323.65
-1298.06 1323.65 -1385.83 1408.48
-1385.83 1408.48 -1476.47 1496.09
-1476.47 1496.09 -1569.99 1586.47
-1569.99 1586.47 -1666.39 1679.63
-1666.39 1679.63 -1765.65 1775.56
-1765.65 1775.56 -1867.79 1874.27
-1867.79 1874.27 -1972.81 1975.76
-1972.81 1975.76 -1997.89 2000
12.1454 60.0997 nan nan
12.1454 60.0997 8.10683 64.532
8.10683 64.532 -5.25043 78.6771
-5.25043 78.6771 -20.7201 94.4369
-20.7201 94.4369 -38.5129 112.112
-38.5129 112.112 -58.7853 131.924
-58.7853 131.924 -81.6509 154.035
-81.6509 154.035 -107.192 178.563
-107.192 178.563 -135.467 205.591
-135.467 205.591 -166.518 235.18
-166.518 235.18 -200.378 267.374
-200.378 267.374 -237.068 302.205
-237.068 302.205 -276.605 339.698
-276.605 339.698 -319.003 379.87
-319.003 379.87 -364.271 422.736
-364.271 422.736 -412.415 468.306
-412.415 468.306 -457.928 511.37
41.845 26.845 41.1892 27.7498
41.1892 27.7498 32.4412 38.8398
32.4412 38.8398 22.374 49.9319
22.374 49.9319 12.1454 60.0997
71.3466 -9.79124 64.8119 -0.9835
64.8119 -0.9835 55.0154 11.523
55.0154 11.523 45.256 23.0402
45.256 23.0402 55.0154 11.523
55.0154 11.523 45.256 23.0402
45.256 23.0402 41.845 26.845
71.3466 -9.79124 nan nan
71.3466 -9.79124 81.4167 -21.395
81.4167 -21.395 93.623 -36.4234
93.623 -36.4234 107.093 -53.8289
107.093 -53.8289 122.103 -73.8486
122.103 -73.8486 138.856 -96.6584
138.856 -96.6584 157.5 -122.386
157.5 -122.386 178.142 -151.124
178.142 -151.124 200.86 -182.938
200.86 -182.938 225.709 -217.877
225.709 -217.877 252.73 -255.975
252.73 -255.975 281.952 -297.258
281.952 -297.258 313.396 -341.745
313.396 -341.745 347.081 -389.45
347.081 -389.45 383.018 -440.385
383.018 -440.385 421.217 -494.556
421.217 -494.556 459.905 -549.445
Vertex -99 -100
-2000 864.334 -1962.63 846.664
-1962.63 846.664 -1848.68 792.776
-1848.68 792.776 -1738.34 740.593
-1738.34 740.593 -1631.61 690.116
-1631.61 690.116 -1528.49 641.343
-1528.49 641.343 -1428.98 594.274
-1428.98 594.274 -1333.08 548.907
-1333.08 548.907 -1240.79 505.243
-1240.79 505.243 -1152.11 463.279
-1152.11 463.279 -1067.03 423.015
-1067.03 423.015 -985.561 384.448
-985.561 384.448 -907.691 347.577
-907.691 347.577 -833.421 312.399
-833.421 312.399 -762.748 278.911
-762.748 278.911 -695.667 247.109
-695.667 247.109 -632.174 216.988
-632.174 216.988 -572.263 188.542
-572.263 188.542 -515.925 161.764
-515.925 161.764 -463.15 136.643
-463.15 136.643 -413.926 113.166
-413.926 113.166 -368.236 91.3157
-368.236 91.3157 -326.055 71.0705
-326.055 71.0705 -287.354 52.3997
-287.354 52.3997 -252.092 35.2627
-252.092 35.2627 -220.213 19.6042
-220.213 19.6042 -191.64 5.34865
-191.64 5.34865 -166.269 -7.6071
-166.269 -7.6071 -143.957 -19.4039
-143.957 -19.4039 -124.514 -30.2316
-124.514 -30.2316 -107.683 -40.3416
-107.683 -40.3416 -93.1412 -50.0554
-93.1412 -50.0554 -80.4889 -59.7672
-80.4889 -59.7672 -69.2661 -69.932
-69.2661 -69.932 -80.4889 -59.7672
-80.4889 -59.7672 -69.2661 -69.932
-69.2661 -69.932 -58.9765 -81.0405
-58.9765 -81.0405 -49.124 -93.5836
-49.124 -93.5836 -39.2483 -108.016
-39.2483 -108.016 -28.9509 -124.732
-28.9509 -124.732 -21.2279 -138.122
216.673 -791.032 nan nan
216.673 -791.032 183.795 -829.876
183.795 -829.876 145.324 -875.154
145.324 -875.154 105.68 -921.636
105.68 -921.636 64.7519 -969.461
64.7519 -969.461 22.4333 -1018.76
22.4333 -1018.76 -21.3749 -1069.64
-21.3749 -1069.64 -66.7659 -1122.24
-66.7659 -1122.24 -113.826 -1176.64
-113.826 -1176.64 -162.637 -1232.96
-162.637 -1232.96 -213.272 -1291.28
-213.272 -1291.28 -265.8 -1351.68
-265.8 -1351.68 -320.285 -1414.25
-320.285 -1414.25 -376.786 -1479.05
-376.786 -1479.05 -435.354 -1546.15
-435.354 -1546.15 -496.04 -1615.6
-496.04 -1615.6 -558.888 -1687.47
-558.888 -1687.47 -623.938 -1761.81
-623.938 -1761.81 -691.228 -1838.65
-691.228 -1838.65 -760.792 -1918.04
-760.792 -1918.04 -832.642 -2000
-0.31985 -184.984 nan nan
-0.31985 -184.984 8.20527 -207.325
8.20527 -207.325 19.5468 -237.695
