Vertex 920.135 244.07
444.588 739.7 458.323 740.399
458.323 740.399 444.588 739.7
444.588 739.7 458.323 740.399
458.323 740.399 468.809 741.26
Vertex 487.692 597.645
493.322 650.301 498.833 647.567
498.833 647.567 512.668 639.976
512.668 639.976 498.833 647.567
498.833 647.567 512.668 639.976
512.668 639.976 526.003 631.536
526.003 631.536 539.445 621.888
539.445 621.888 553.561 610.698
553.561 610.698 568.842 597.676
568.842 597.676 585.691 582.584
585.691 582.584 597.638 571.574
446.027 569.382 449.955 577.814
449.955 577.814 455.914 590.236
455.914 590.236 461.238 600.701
461.238 600.701 466.39 610.009
466.39 610.009 461.238 600.701
461.238 600.701 466.39 610.009
466.39 610.009 471.917 619.1
471.917 619.1 478.364 628.913
478.364 628.913 486.195 640.249
486.195 640.249 493.322 650.301
471.86 545.941 465.286 551.425
465.286 551.425 453.752 561.799
453.752 561.799 465.286 551.425
465.286 551.425 453.752 561.799
453.752 561.799 446.027 569.382
597.762 571.178 578.452 568.241
578.452 568.241 557.879 565.009
557.879 565.009 540.173 562.067
540.173 562.067 524.86 559.297
524.86 559.297 511.307 556.542
511.307 556.542 498.731 553.603
498.731 553.603 511.307 556.542
511.307 556.542 498.731 553.603
498.731 553.603 486.256 550.262
486.256 550.262 473.006 546.3
473.006 546.3 471.86 545.941
597.638 571.574 nan nan
597.638 571.574 597.762 571.178
Vertex 30.569 719.837
130.16 749.485 nan nan
130.16 749.485 125.574 766.583
125.574 766.583 120.375 786.565
120.375 786.565 116.654 801.231
-2000 1713.45 -1908.15 1674.58
-1908.15 1674.58 -1791.91 1625.39
-1791.91 1625.39 -1679.34 1577.75
-1679.34 1577.75 -1570.43 1531.66
-1570.43 1531.66 -1465.18 1487.11
-1465.18 1487.11 -1363.58 1444.11
-1363.58 1444.11 -1265.65 1402.64
-1265.65 1402.64 -1171.36 1362.72
-1171.36 1362.72 -1080.72 1324.34
-1080.72 1324.34 -993.714 1287.49
-993.714 1287.49 -910.344 1252.17
-910.344 1252.17 -830.597 1218.37
-830.597 1218.37 -754.466 1186.1
-754.466 1186.1 -681.936 1155.34
-681.936 1155.34 -612.995 1126.09
-612.995 1126.09 -547.624 1098.33
-547.624 1098.33 -485.803 1072.06
-485.803 1072.06 -427.505 1047.26
-427.505 1047.26 -372.697 1023.91
-372.697 1023.91 -321.34 1002
-321.34 1002 -273.383 981.489
-273.383 981.489 -228.765 962.352
-228.765 962.352 -187.407 944.543
-187.407 944.543 -149.212 928.011
-149.212 928.011 -114.06 912.691
-114.06 912.691 -81.7974 898.499
-81.7974 898.499 -52.2397 885.336
-52.2397 885.336 -25.1589 873.079
-25.1589 873.079 -0.281213 861.579
-0.281213 861.579 22.7161 850.662
22.7161 850.662 44.2044 840.127
44.2044 840.127 64.5984 829.75
64.5984 829.75 84.3456 819.289
84.3456 819.289 64.5984 829.75
64.5984 829.75 84.3456 819.289
84.3456 819.289 103.911 808.492
103.911 808.492 116.654 801.231
-57.8582 606.469 nan nan
-57.8582 606.469 -59.9833 606.559
-59.9833 606.559 -88.0624 608.02
-88.0624 608.02 -118.372 610.064
-118.372 610.064 -151.217 612.672
-151.217 612.672 -186.856 615.826
-186.856 615.826 -225.503 619.513
-225.503 619.513 -267.332 623.722
-267.332 623.722 -312.488 628.443
-312.488 628.443 -361.087 633.669
-361.087 633.669 -413.222 639.394
-413.222 639.394 -468.97 645.613
-468.97 645.613 -528.391 652.322
-528.391 652.322 -591.536 659.517
-591.536 659.517 -658.446 667.197
-658.446 667.197 -729.153 675.359
-729.153 675.359 -803.685 684.001
-803.685 684.001 -882.063 693.123
-882.063 693.123 -964.307 702.721
-964.307 702.721 -1050.43 712.797
-1050.43 712.797 -1140.45 723.348
-1140.45 723.348 -1234.37 734.375
-1234.37 734.375 -1332.21 745.876
-1332.21 745.876 -1433.96 757.851
-1433.96 757.851 -1539.64 770.3
-1539.64 770.3 -1649.26 783.222
-1649.26 783.222 -1762.81 796.618
-1762.81 796.618 -1880.3 810.486
-1880.3 810.486 -2000 824.621
130.16 749.485 127.289 746.236
127.289 746.236 112.257 729.507
112.257 729.507 98.6511 714.938
98.6511 714.938 86.1022 702.228
86.1022 702.228 74.1564 691.009
74.1564 691.009 62.2882 680.853
62.2882 680.853 74.1564 691.009
74.1564 691.009 62.2882 680.853
62.2882 680.853 49.9306 671.298
49.9306 671.298 36.5165 661.883
36.5165 661.883 21.5206 652.181
